,place_name,공원,관광명소,교통,쇼핑,숙소,술집,음식점,주차시설,카페,화장실,review
60,구 보성여관,0.0,5.0,20.0,240.0,7.0,11.0,169.0,7.0,20.0,3.0,366
61,구례 운조루 고택,1.0,0.0,2.0,14.0,20.0,0.0,14.0,0.0,5.0,0.0,299
62,구룡사,0.0,1.0,6.0,6.0,10.0,0.0,13.0,3.0,0.0,8.0,519
63,구산성지,5.0,0.0,30.0,240.0,3.0,57.0,285.0,9.0,237.0,7.0,58
64,구인사(단양),0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
65,국립4.19민주묘지,19.0,2.0,10.0,240.0,89.0,229.0,285.0,30.0,237.0,31.0,113
66,국립대전현충원,12.0,0.0,6.0,240.0,1.0,4.0,116.0,8.0,69.0,2.0,734
67,국립서울현충원,21.0,1.0,28.0,240.0,18.0,226.0,285.0,56.0,237.0,58.0,1788
68,국채보상운동기념공원,6.0,9.0,0.0,237.0,139.0,223.0,285.0,237.0,237.0,92.0,692
69,군산 신흥동 일본식가옥,9.0,5.0,20.0,240.0,73.0,73.0,285.0,34.0,201.0,3.0,1702
70,군산 임피역사,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225
71,군위 아미타여래삼존 석굴,0.0,0.0,20.0,12.0,8.0,0.0,34.0,0.0,5.0,1.0,104
72,금당실마을,0.0,0.0,11.0,17.0,5.0,3.0,16.0,1.0,5.0,1.0,51
73,금둔사,0.0,2.0,1.0,2.0,14.0,0.0,7.0,0.0,1.0,3.0,251
74,금산 보리암(남해),0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2450
75,금선사(서울),0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32
76,금정산성,1.0,0.0,20.0,44.0,2.0,2.0,115.0,3.0,8.0,2.0,192
77,길상사(서울),0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2260
78,김유정 문학촌,0.0,1.0,2.0,33.0,3.0,1.0,36.0,0.0,9.0,3.0,920
79,김제 벽골제,0.0,1.0,20.0,10.0,1.0,1.0,3.0,1.0,1.0,0.0,536
80,김제금산사,0.0,2.0,0.0,12.0,10.0,1.0,37.0,0.0,16.0,0.0,769
81,김포 덕포진,0.0,0.0,0.0,56.0,16.0,0.0,81.0,3.0,9.0,6.0,165
82,나주 금성관,3.0,3.0,3.0,240.0,16.0,29.0,285.0,12.0,73.0,0.0,296
83,나주 목사내아,2.0,0.0,20.0,240.0,23.0,31.0,285.0,0.0,75.0,0.0,75
84,낙산사,0.0,1.0,10.0,83.0,173.0,4.0,126.0,1.0,25.0,8.0,4280
85,낙산사 의상대,0.0,1.0,6.0,47.0,137.0,4.0,101.0,1.0,14.0,5.0,149
